ts_micro,frame,wheel
1.4643E+15,0,-5.5
1.4643E+15,1,-5.5
1.4643E+15,2,-5.5
1.4643E+15,3,-6
1.4643E+15,4,-6
1.4643E+15,5,-6.5
1.4643E+15,6,-6.5
1.4643E+15,7,-7
1.4643E+15,8,-7
1.4643E+15,9,-7
1.4643E+15,10,-7.5
1.4643E+15,11,-7.5
1.4643E+15,12,-7.5
1.4643E+15,13,-7.5
1.4643E+15,14,-7.5
1.4643E+15,15,-7.5
1.4643E+15,16,-7.5
1.4643E+15,17,-7.5
1.4643E+15,18,-7.5
1.4643E+15,19,-7.5
1.4643E+15,20,-7
1.4643E+15,21,-7
1.4643E+15,22,-7
1.4643E+15,23,-7
1.4643E+15,24,-7
1.4643E+15,25,-6.5
1.4643E+15,26,-6.5
1.4643E+15,27,-6.5
1.4643E+15,28,-6.5
1.4643E+15,29,-6.5
1.4643E+15,30,-6.5
1.4643E+15,31,-6.5
1.4643E+15,32,-6.5
1.4643E+15,33,-6.5
1.4643E+15,34,-6.5
1.4643E+15,35,-6.5
1.4643E+15,36,-6
1.4643E+15,37,-6
1.4643E+15,38,-6
1.4643E+15,39,-6
1.4643E+15,40,-5.5
1.4643E+15,41,-5.5
1.4643E+15,42,-5
1.4643E+15,43,-5
1.4643E+15,44,-4.5
1.4643E+15,45,-4
1.4643E+15,46,-3.5
1.4643E+15,47,-3.5
1.4643E+15,48,-3.5
1.4643E+15,49,-3.5
1.4643E+15,50,-4
1.4643E+15,51,-4
1.4643E+15,52,-4
1.4643E+15,53,-4
1.4643E+15,54,-4
1.4643E+15,55,-4
1.4643E+15,56,-4
1.4643E+15,57,-4
1.4643E+15,58,-3.5
1.4643E+15,59,-3.5
1.4643E+15,60,-3.5
1.4643E+15,61,-3.5
1.4643E+15,62,-3.5
1.4643E+15,63,-3.5
1.4643E+15,64,-3.5
1.4643E+15,65,-3.5
1.4643E+15,66,-3.5
1.4643E+15,67,-3.5
1.4643E+15,68,-3.5
1.4643E+15,69,-3.5
1.4643E+15,70,-3.5
1.4643E+15,71,-3
1.4643E+15,72,-3
1.4643E+15,73,-3
1.4643E+15,74,-3
1.4643E+15,75,-3
1.4643E+15,76,-3
1.4643E+15,77,-3
1.4643E+15,78,-3
1.4643E+15,79,-3
1.4643E+15,80,-3
1.4643E+15,81,-3
1.4643E+15,82,-3
1.4643E+15,83,-2.5
1.4643E+15,84,-2.5
1.4643E+15,85,-2.5
1.4643E+15,86,-2.5
1.4643E+15,87,-2.5
1.4643E+15,88,-2.5
1.4643E+15,89,-2.5
1.4643E+15,90,-2.5
1.4643E+15,91,-2.5
1.4643E+15,92,-2.5
1.4643E+15,93,-2.5
1.4643E+15,94,-2.5
1.4643E+15,95,-2.5
1.4643E+15,96,-2.5
1.4643E+15,97,-2.5
1.4643E+15,98,-2.5
1.4643E+15,99,-2.5
1.4643E+15,100,-3
1.4643E+15,101,-3.5
1.4643E+15,102,-3.5
1.4643E+15,103,-4
1.4643E+15,104,-4
1.4643E+15,105,-4
1.4643E+15,106,-4
1.4643E+15,107,-4
1.4643E+15,108,-4
1.4643E+15,109,-4
1.4643E+15,110,-4
1.4643E+15,111,-4
1.4643E+15,112,-4
1.4643E+15,113,-4
1.4643E+15,114,-4
1.4643E+15,115,-4
1.4643E+15,116,-3.5
1.4643E+15,117,-3.5
1.4643E+15,118,-3.5
1.4643E+15,119,-3.5
1.4643E+15,120,-3.5
1.4643E+15,121,-3.5
1.4643E+15,122,-3.5
1.4643E+15,123,-3.5
1.4643E+15,124,-3.5
1.4643E+15,125,-3.5
1.4643E+15,126,-3
1.4643E+15,127,-3
1.4643E+15,128,-3
1.4643E+15,129,-3
1.4643E+15,130,-2.5
1.4643E+15,131,-2.5
1.4643E+15,132,-2.5
1.4643E+15,133,-2.5
1.4643E+15,134,-2.5
1.4643E+15,135,-2.5
1.4643E+15,136,-2.5
1.4643E+15,137,-2
1.4643E+15,138,-2
1.4643E+15,139,-2
1.4643E+15,140,-2
1.4643E+15,141,-2
