ts_micro,frame,wheel
1.4643E+15,0,0.5
1.4643E+15,1,0.5
1.4643E+15,2,0.5
1.4643E+15,3,0.5
1.4643E+15,4,0.5
1.4643E+15,5,0.5
1.4643E+15,6,0.5
1.4643E+15,7,0.5
1.4643E+15,8,0.5
1.4643E+15,9,0.5
1.4643E+15,10,0.5
1.4643E+15,11,0.5
1.4643E+15,12,0.5
1.4643E+15,13,1
1.4643E+15,14,1
1.4643E+15,15,1
1.4643E+15,16,1
1.4643E+15,17,1
1.4643E+15,18,1
1.4643E+15,19,1
1.4643E+15,20,1
1.4643E+15,21,1
1.4643E+15,22,1
1.4643E+15,23,1
1.4643E+15,24,1
1.4643E+15,25,1
1.4643E+15,26,1
1.4643E+15,27,1
1.4643E+15,28,1
1.4643E+15,29,1
1.4643E+15,30,1
1.4643E+15,31,1
1.4643E+15,32,1
1.4643E+15,33,0.5
1.4643E+15,34,0.5
1.4643E+15,35,0.5
1.4643E+15,36,0.5
1.4643E+15,37,0.5
1.4643E+15,38,0.5
1.4643E+15,39,0.5
1.4643E+15,40,0.5
1.4643E+15,41,0.5
1.4643E+15,42,0.5
1.4643E+15,43,0.5
1.4643E+15,44,0.5
1.4643E+15,45,0.5
1.4643E+15,46,0.5
1.4643E+15,47,0.5
1.4643E+15,48,0.5
1.4643E+15,49,0.5
1.4643E+15,50,0.5
1.4643E+15,51,0.5
1.4643E+15,52,0.5
1.4643E+15,53,0.5
1.4643E+15,54,0.5
1.4643E+15,55,0.5
1.4643E+15,56,0.5
1.4643E+15,57,1
1.4643E+15,58,1
1.4643E+15,59,1
1.4643E+15,60,1.5
1.4643E+15,61,1.5
1.4643E+15,62,1.5
1.4643E+15,63,1.5
1.4643E+15,64,1
1.4643E+15,65,1
1.4643E+15,66,0
1.4643E+15,67,-0.5
1.4643E+15,68,-1
1.4643E+15,69,-1.5
1.4643E+15,70,-1.5
1.4643E+15,71,-1.5
1.4643E+15,72,-1.5
1.4643E+15,73,-1.5
1.4643E+15,74,-1.5
1.4643E+15,75,-1.5
1.4643E+15,76,-1.5
1.4643E+15,77,-1.5
1.4643E+15,78,-2
1.4643E+15,79,-2
1.4643E+15,80,-2
1.4643E+15,81,-2
1.4643E+15,82,-2
1.4643E+15,83,-1.5
1.4643E+15,84,-1.5
1.4643E+15,85,-1.5
1.4643E+15,86,-1.5
1.4643E+15,87,-1.5
1.4643E+15,88,-1.5
1.4643E+15,89,-1
1.4643E+15,90,-1
1.4643E+15,91,-1
1.4643E+15,92,-1
1.4643E+15,93,-1
1.4643E+15,94,-0.5
1.4643E+15,95,-0.5
1.4643E+15,96,-0.5
1.4643E+15,97,-1
1.4643E+15,98,-1
1.4643E+15,99,-1
1.4643E+15,100,-1
1.4643E+15,101,-1
1.4643E+15,102,-0.5
1.4643E+15,103,-0.5
1.4643E+15,104,-0.5
1.4643E+15,105,-0.5
1.4643E+15,106,-0.5
1.4643E+15,107,-0.5
1.4643E+15,108,-0.5
1.4643E+15,109,-0.5
1.4643E+15,110,-0.5
1.4643E+15,111,-0.5
1.4643E+15,112,-0.5
1.4643E+15,113,0
1.4643E+15,114,0
1.4643E+15,115,0
1.4643E+15,116,0
1.4643E+15,117,0
1.4643E+15,118,-0.5
1.4643E+15,119,-0.5
1.4643E+15,120,-0.5
1.4643E+15,121,-0.5
1.4643E+15,122,-0.5
1.4643E+15,123,-0.5
1.4643E+15,124,-0.5
1.4643E+15,125,-0.5
1.4643E+15,126,-0.5
1.4643E+15,127,-0.5
1.4643E+15,128,-0.5
1.4643E+15,129,-0.5
1.4643E+15,130,-0.5
1.4643E+15,131,-0.5
1.4643E+15,132,-0.5
1.4643E+15,133,-0.5
1.4643E+15,134,-0.5
1.4643E+15,135,-0.5
1.4643E+15,136,-0.5
1.4643E+15,137,-0.5
1.4643E+15,138,-0.5
1.4643E+15,139,-0.5
1.4643E+15,140,-1
1.4643E+15,141,-1
1.4643E+15,142,-1
1.4643E+15,143,-1
1.4643E+15,144,-1
1.4643E+15,145,-1
1.4643E+15,146,-1
1.4643E+15,147,-1
1.4643E+15,148,-1
1.4643E+15,149,-1
1.4643E+15,150,-1
1.4643E+15,151,-1
1.4643E+15,152,-0.5
1.4643E+15,153,-0.5
1.4643E+15,154,-0.5
1.4643E+15,155,-0.5
1.4643E+15,156,0
1.4643E+15,157,0
1.4643E+15,158,0
1.4643E+15,159,-0.5
1.4643E+15,160,-0.5
1.4643E+15,161,-0.5
1.4643E+15,162,0
1.4643E+15,163,0
1.4643E+15,164,0
1.4643E+15,165,0
1.4643E+15,166,0
1.4643E+15,167,0.5
1.4643E+15,168,0.5
1.4643E+15,169,0.5
1.4643E+15,170,0.5
1.4643E+15,171,0.5
1.4643E+15,172,0.5
1.4643E+15,173,0.5
1.4643E+15,174,1
1.4643E+15,175,1
1.4643E+15,176,1
1.4643E+15,177,1
1.4643E+15,178,1
1.4643E+15,179,1
1.4643E+15,180,1
1.4643E+15,181,1
1.4643E+15,182,1
1.4643E+15,183,1
1.4643E+15,184,1
1.4643E+15,185,1
1.4643E+15,186,1
1.4643E+15,187,1.5
1.4643E+15,188,1.5
1.4643E+15,189,1.5
1.4643E+15,190,1.5
1.4643E+15,191,1.5
1.4643E+15,192,1.5
1.4643E+15,193,1.5
1.4643E+15,194,1.5
1.4643E+15,195,1.5
1.4643E+15,196,2
1.4643E+15,197,2
1.4643E+15,198,2
1.4643E+15,199,2
1.4643E+15,200,2
1.4643E+15,201,2
1.4643E+15,202,2
1.4643E+15,203,2
1.4643E+15,204,2
1.4643E+15,205,2
1.4643E+15,206,2
1.4643E+15,207,2
1.4643E+15,208,2
1.4643E+15,209,2
1.4643E+15,210,2
1.4643E+15,211,2
1.4643E+15,212,2
1.4643E+15,213,2
1.4643E+15,214,2
1.4643E+15,215,2
1.4643E+15,216,2
1.4643E+15,217,2
1.4643E+15,218,1.5
1.4643E+15,219,1.5
1.4643E+15,220,1.5
1.4643E+15,221,1.5
1.4643E+15,222,1.5
1.4643E+15,223,1.5
1.4643E+15,224,1.5
1.4643E+15,225,1.5
1.4643E+15,226,1.5
1.4643E+15,227,1.5
1.4643E+15,228,1.5
1.4643E+15,229,1.5
1.4643E+15,230,1.5
1.4643E+15,231,1.5
1.4643E+15,232,1.5
1.4643E+15,233,1.5
1.4643E+15,234,1.5
1.4643E+15,235,1.5
1.4643E+15,236,1.5
1.4643E+15,237,1.5
1.4643E+15,238,1.5
1.4643E+15,239,1.5
1.4643E+15,240,1.5
1.4643E+15,241,1.5
1.4643E+15,242,1.5
1.4643E+15,243,1.5
1.4643E+15,244,1.5
1.4643E+15,245,1.5
1.4643E+15,246,1.5
1.4643E+15,247,1.5
1.4643E+15,248,2
1.4643E+15,249,2
1.4643E+15,250,2
1.4643E+15,251,2
1.4643E+15,252,2
1.4643E+15,253,2
1.4643E+15,254,2
1.4643E+15,255,2
1.4643E+15,256,2
1.4643E+15,257,2
1.4643E+15,258,2
1.4643E+15,259,2
1.4643E+15,260,1.5
1.4643E+15,261,1.5
1.4643E+15,262,1.5
1.4643E+15,263,1.5
1.4643E+15,264,1.5
1.4643E+15,265,1.5
1.4643E+15,266,1.5
1.4643E+15,267,1.5
1.4643E+15,268,1.5
1.4643E+15,269,1.5
