ts_micro,frame,wheel
1.4643E+15,0,-12
1.4643E+15,1,-11.5
1.4643E+15,2,-11.5
1.4643E+15,3,-11
1.4643E+15,4,-11.5
1.4643E+15,5,-11.5
1.4643E+15,6,-11.5
1.4643E+15,7,-11.5
1.4643E+15,8,-11.5
1.4643E+15,9,-11.5
1.4643E+15,10,-11.5
1.4643E+15,11,-11.5
1.4643E+15,12,-11.5
1.4643E+15,13,-11.5
1.4643E+15,14,-11.5
1.4643E+15,15,-11.5
1.4643E+15,16,-11.5
1.4643E+15,17,-11.5
1.4643E+15,18,-11.5
1.4643E+15,19,-11.5
1.4643E+15,20,-11.5
1.4643E+15,21,-11.5
1.4643E+15,22,-11.5
1.4643E+15,23,-11.5
1.4643E+15,24,-12
1.4643E+15,25,-12
1.4643E+15,26,-12.5
1.4643E+15,27,-12.5
1.4643E+15,28,-12.5
1.4643E+15,29,-12.5
1.4643E+15,30,-12.5
1.4643E+15,31,-12.5
1.4643E+15,32,-12.5
1.4643E+15,33,-13
1.4643E+15,34,-13
1.4643E+15,35,-13
1.4643E+15,36,-13.5
1.4643E+15,37,-14
1.4643E+15,38,-15
1.4643E+15,39,-15.5
1.4643E+15,40,-15.5
1.4643E+15,41,-15.5
1.4643E+15,42,-15
1.4643E+15,43,-14
1.4643E+15,44,-13.5
1.4643E+15,45,-13
1.4643E+15,46,-12.5
1.4643E+15,47,-12
1.4643E+15,48,-11.5
1.4643E+15,49,-11
1.4643E+15,50,-11
1.4643E+15,51,-11
1.4643E+15,52,-11
1.4643E+15,53,-11
1.4643E+15,54,-11
1.4643E+15,55,-11
1.4643E+15,56,-11
1.4643E+15,57,-11
1.4643E+15,58,-11
1.4643E+15,59,-11
1.4643E+15,60,-11
1.4643E+15,61,-11
1.4643E+15,62,-11
1.4643E+15,63,-11
1.4643E+15,64,-11
1.4643E+15,65,-11
1.4643E+15,66,-11.5
1.4643E+15,67,-11.5
1.4643E+15,68,-11.5
1.4643E+15,69,-11.5
1.4643E+15,70,-11.5
1.4643E+15,71,-12
1.4643E+15,72,-12
1.4643E+15,73,-12
1.4643E+15,74,-12.5
1.4643E+15,75,-13
1.4643E+15,76,-14
1.4643E+15,77,-14.5
1.4643E+15,78,-15
1.4643E+15,79,-15.5
1.4643E+15,80,-15.5
1.4643E+15,81,-15.5
1.4643E+15,82,-15.5
1.4643E+15,83,-15.5
1.4643E+15,84,-15.5
1.4643E+15,85,-16
1.4643E+15,86,-16.5
1.4643E+15,87,-17
1.4643E+15,88,-17.5
1.4643E+15,89,-17.5
1.4643E+15,90,-17.5
1.4643E+15,91,-17.5
1.4643E+15,92,-17.5
1.4643E+15,93,-17
1.4643E+15,94,-17
1.4643E+15,95,-16.5
1.4643E+15,96,-16.5
1.4643E+15,97,-16
1.4643E+15,98,-16
1.4643E+15,99,-16
1.4643E+15,100,-16
1.4643E+15,101,-16
1.4643E+15,102,-16
1.4643E+15,103,-16
1.4643E+15,104,-15.5
1.4643E+15,105,-15
1.4643E+15,106,-14.5
1.4643E+15,107,-14.5
1.4643E+15,108,-14.5
1.4643E+15,109,-14.5
1.4643E+15,110,-14.5
1.4643E+15,111,-14
1.4643E+15,112,-14
1.4643E+15,113,-14
1.4643E+15,114,-14
1.4643E+15,115,-13.5
1.4643E+15,116,-13.5
1.4643E+15,117,-13.5
1.4643E+15,118,-13.5
1.4643E+15,119,-13.5
1.4643E+15,120,-13
1.4643E+15,121,-13
1.4643E+15,122,-13
1.4643E+15,123,-13
1.4643E+15,124,-13
1.4643E+15,125,-12.5
1.4643E+15,126,-12
1.4643E+15,127,-11.5
1.4643E+15,128,-11.5
1.4643E+15,129,-11.5
1.4643E+15,130,-11
1.4643E+15,131,-11
1.4643E+15,132,-10.5
1.4643E+15,133,-10.5
1.4643E+15,134,-10
1.4643E+15,135,-10
1.4643E+15,136,-10
1.4643E+15,137,-10
1.4643E+15,138,-10
1.4643E+15,139,-10.5
1.4643E+15,140,-11
1.4643E+15,141,-12
1.4643E+15,142,-13
1.4643E+15,143,-13.5
1.4643E+15,144,-14
1.4643E+15,145,-14.5
1.4643E+15,146,-14.5
1.4643E+15,147,-14.5
1.4643E+15,148,-14
1.4643E+15,149,-14
1.4643E+15,150,-14.5
1.4643E+15,151,-15
1.4643E+15,152,-16
1.4643E+15,153,-17
1.4643E+15,154,-17.5
1.4643E+15,155,-18
1.4643E+15,156,-18
1.4643E+15,157,-18
1.4643E+15,158,-17.5
1.4643E+15,159,-17
1.4643E+15,160,-17
1.4643E+15,161,-16.5
1.4643E+15,162,-16.5
1.4643E+15,163,-17
1.4643E+15,164,-17
1.4643E+15,165,-16.5
1.4643E+15,166,-16.5
1.4643E+15,167,-16
1.4643E+15,168,-15.5
1.4643E+15,169,-15
1.4643E+15,170,-14.5
1.4643E+15,171,-14
1.4643E+15,172,-14
1.4643E+15,173,-13.5
1.4643E+15,174,-14
1.4643E+15,175,-13.5
1.4643E+15,176,-13.5
1.4643E+15,177,-13.5
1.4643E+15,178,-13.5
1.4643E+15,179,-13.5
1.4643E+15,180,-13.5
1.4643E+15,181,-13.5
1.4643E+15,182,-14
1.4643E+15,183,-14
1.4643E+15,184,-14.5
1.4643E+15,185,-14.5
1.4643E+15,186,-14.5
1.4643E+15,187,-14.5
1.4643E+15,188,-14.5
1.4643E+15,189,-14
1.4643E+15,190,-14
1.4643E+15,191,-14
1.4643E+15,192,-14
1.4643E+15,193,-14
1.4643E+15,194,-14
1.4643E+15,195,-14
1.4643E+15,196,-14
1.4643E+15,197,-14
1.4643E+15,198,-13.5
1.4643E+15,199,-13.5
1.4643E+15,200,-13.5
1.4643E+15,201,-13.5
1.4643E+15,202,-13.5
1.4643E+15,203,-13.5
1.4643E+15,204,-13.5
1.4643E+15,205,-13
1.4643E+15,206,-13
1.4643E+15,207,-13
1.4643E+15,208,-13
1.4643E+15,209,-12.5
1.4643E+15,210,-12.5
1.4643E+15,211,-12.5
1.4643E+15,212,-12.5
1.4643E+15,213,-12.5
1.4643E+15,214,-13
1.4643E+15,215,-13
1.4643E+15,216,-13
1.4643E+15,217,-13
1.4643E+15,218,-13
1.4643E+15,219,-13
1.4643E+15,220,-13
1.4643E+15,221,-12.5
1.4643E+15,222,-12.5
1.4643E+15,223,-12.5
