new_index,ts_micro,frame,wheel
epoch01_steering_0,1464650070285914.0,0,-1.0
epoch01_steering_1,1464650070319247.0,1,-1.0
epoch01_steering_2,1464650070352581.0,2,-1.0
epoch01_steering_3,1464650070385914.0,3,-1.0
epoch01_steering_4,1464650070419247.0,4,-1.0
epoch01_steering_5,1464650070452581.0,5,-1.0
epoch01_steering_6,1464650070485914.0,6,-1.0
epoch01_steering_7,1464650070519247.0,7,-1.0
epoch01_steering_8,1464650070552581.0,8,-1.0
epoch01_steering_9,1464650070585914.0,9,-1.5
epoch01_steering_10,1464650070619247.0,10,-1.5
epoch01_steering_11,1464650070652581.0,11,-1.5
epoch01_steering_12,1464650070685914.0,12,-1.5
epoch01_steering_13,1464650070719247.0,13,-1.5
epoch01_steering_14,1464650070752581.0,14,-1.5
epoch01_steering_15,1464650070785914.0,15,-1.5
epoch01_steering_16,1464650070819247.0,16,-1.5
epoch01_steering_17,1464650070852581.0,17,-1.5
epoch01_steering_18,1464650070885914.0,18,-1.5
epoch01_steering_19,1464650070919247.0,19,-1.5
epoch01_steering_20,1464650070952581.0,20,-1.5
epoch01_steering_21,1464650070985914.0,21,-1.5
epoch01_steering_22,1464650071019247.0,22,-1.5
epoch01_steering_23,1464650071052581.0,23,-1.5
epoch01_steering_24,1464650071085914.0,24,-1.5
epoch01_steering_25,1464650071119247.0,25,-1.5
epoch01_steering_26,1464650071152581.0,26,-1.5
epoch01_steering_27,1464650071185914.0,27,-1.5
epoch01_steering_28,1464650071219247.0,28,-1.5
epoch01_steering_29,1464650071252581.0,29,-1.5
epoch01_steering_30,1464650071285914.0,30,-1.5
epoch01_steering_31,1464650071319247.0,31,-1.5
epoch01_steering_32,1464650071352581.0,32,-1.5
epoch01_steering_33,1464650071385914.0,33,-1.5
epoch01_steering_34,1464650071419247.0,34,-1.5
epoch01_steering_35,1464650071452581.0,35,-1.5
epoch01_steering_36,1464650071485914.0,36,-1.0
epoch01_steering_37,1464650071519247.0,37,0.0
epoch01_steering_38,1464650071552581.0,38,0.0
epoch01_steering_39,1464650071585914.0,39,0.0
epoch01_steering_40,1464650071619247.0,40,0.0
epoch01_steering_41,1464650071652581.0,41,0.0
epoch01_steering_42,1464650071685914.0,42,-0.5
epoch01_steering_43,1464650071719247.0,43,-0.5
epoch01_steering_44,1464650071752581.0,44,-0.5
epoch01_steering_45,1464650071785914.0,45,-0.5
epoch01_steering_46,1464650071819247.0,46,-0.5
epoch01_steering_47,1464650071852581.0,47,0.0
epoch01_steering_48,1464650071885914.0,48,0.0
epoch01_steering_49,1464650071919247.0,49,0.0
epoch01_steering_50,1464650071952581.0,50,0.0
epoch01_steering_51,1464650071985914.0,51,0.0
epoch01_steering_52,1464650072019247.0,52,0.0
epoch01_steering_53,1464650072052581.0,53,0.0
epoch01_steering_54,1464650072085914.0,54,0.0
epoch01_steering_55,1464650072119247.0,55,0.0
epoch01_steering_56,1464650072152581.0,56,0.0
epoch01_steering_57,1464650072185914.0,57,0.0
epoch01_steering_58,1464650072219247.0,58,0.0
epoch01_steering_59,1464650072252581.0,59,0.0
epoch01_steering_60,1464650072285914.0,60,0.5
epoch01_steering_61,1464650072319247.0,61,0.5
epoch01_steering_62,1464650072352581.0,62,0.5
epoch01_steering_63,1464650072385914.0,63,0.5
epoch01_steering_64,1464650072419247.0,64,0.5
epoch01_steering_65,1464650072452581.0,65,0.5
epoch01_steering_66,1464650072485914.0,66,0.5
epoch01_steering_67,1464650072519247.0,67,0.5
epoch01_steering_68,1464650072552581.0,68,0.5
epoch01_steering_69,1464650072585914.0,69,0.5
epoch01_steering_70,1464650072619247.0,70,0.5
epoch01_steering_71,1464650072652581.0,71,0.5
epoch01_steering_72,1464650072685914.0,72,0.5
epoch01_steering_73,1464650072719247.0,73,0.5
epoch01_steering_74,1464650072752581.0,74,0.5
epoch01_steering_75,1464650072785914.0,75,0.5
epoch01_steering_76,1464650072819247.0,76,0.5
epoch01_steering_77,1464650072852581.0,77,0.5
epoch01_steering_78,1464650072885914.0,78,0.5
epoch01_steering_79,1464650072919247.0,79,0.5
epoch01_steering_80,1464650072952581.0,80,0.5
epoch01_steering_81,1464650072985914.0,81,0.5
epoch01_steering_82,1464650073019247.0,82,0.5
epoch01_steering_83,1464650073052581.0,83,0.5
epoch01_steering_84,1464650073085914.0,84,0.5
epoch01_steering_85,1464650073119247.0,85,0.5
epoch01_steering_86,1464650073152581.0,86,0.5
epoch01_steering_87,1464650073185914.0,87,0.5
epoch01_steering_88,1464650073219247.0,88,0.5
epoch01_steering_89,1464650073252581.0,89,0.5
epoch01_steering_90,1464650073285914.0,90,0.5
epoch01_steering_91,1464650073319247.0,91,0.5
epoch01_steering_92,1464650073352581.0,92,0.5
epoch01_steering_93,1464650073385914.0,93,0.5
epoch01_steering_94,1464650073419247.0,94,0.5
epoch01_steering_95,1464650073452581.0,95,0.5
epoch01_steering_96,1464650073485914.0,96,0.5
epoch01_steering_97,1464650073519247.0,97,0.5
epoch01_steering_98,1464650073552581.0,98,0.5
epoch01_steering_99,1464650073585914.0,99,0.5
epoch01_steering_100,1464650073619247.0,100,0.5
epoch01_steering_101,1464650073652581.0,101,0.5
epoch01_steering_102,1464650073685914.0,102,0.5
epoch01_steering_103,1464650073719247.0,103,0.5
epoch01_steering_104,1464650073752581.0,104,0.5
epoch01_steering_105,1464650073785914.0,105,0.5
epoch01_steering_106,1464650073819247.0,106,0.5
epoch01_steering_107,1464650073852581.0,107,0.5
epoch01_steering_108,1464650073885914.0,108,0.5
epoch01_steering_109,1464650073919247.0,109,0.5
epoch01_steering_110,1464650073952581.0,110,0.5
epoch01_steering_111,1464650073985914.0,111,0.5
epoch01_steering_112,1464650074019247.0,112,0.5
epoch01_steering_113,1464650074052581.0,113,0.5
epoch01_steering_114,1464650074085914.0,114,0.5
epoch01_steering_115,1464650074119247.0,115,0.5
epoch01_steering_116,1464650074152581.0,116,0.5
